Date,Time,C1,C2,C3,C4,C5,C6,C7,C8
20250611,8:15,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1
20250611,9:15,40.7,40.5,40.6,40.5,38.3,39.9,40.5,40.3
20250611,10:15,41.4,41.4,41.6,40.8,40.4,40.9,41.1,40.8
20250611,11:15,42.2,42.2,41.9,41,40.6,41.9,41.5,41.7
20250611,12:15,42.7,43.1,42.5,42,40.7,42.5,41.9,42.3
20250611,13:15,43.4,43.5,42.8,42.7,41,43.3,43,43.1
20250611,14:15,43.8,43.7,43.5,43,41.1,44,44,43.8
20250611,15:15,44.1,44.6,44.9,43.2,41.3,44.8,44.6,43.8
20250612,8:15,54.5,54.2,56.5,51.1,48,50.5,54.5,50.4
20250612,9:15,55.3,54.6,57.1,52.1,48.3,50.8,55.5,51.6
20250612,10:15,55.3,54.9,57,52.4,48.1,50.4,55,51.6
20250612,11:15,56.5,55.1,56.7,51.7,48.1,49.8,55.2,52.3
