Polyp A Chambers,C1,C2,C3,C4
8:15,36,36,36,36
9:15,41,41,42,42
10:15,42,41,42.5,43
11:15,43,42.5,44,43
12:15,44,43,45,45
13:15,45,44,45,46
14:15,46,45,46,46
15:15,47,46,48,48
